geo,year,e_cap_share,e_cap_top,e_gen_share,e_gen_top,gas_retailers,fc_e_gwh,fc_ne_gwh,gas_fc_gwh,pop,retailers_per_twh,in_density_sample,retailers_per_million
AT,2013,62.0,,55.5,,45.0,54996.143,3450.344,58446.486999999994,8451860.0,0.7699350689802795,True,5.324271817091149
AT,2014,60.8,,55.2,,54.0,50933.702,4008.465,54942.167,8507786.0,0.9828516592729224,True,6.347127207948108
AT,2015,59.7,,53.0,,56.0,53047.628,3863.871,56911.499,8584926.0,0.9839839221244198,True,6.523061468438983
AT,2016,58.4,,52.1,,64.0,54990.211,3960.476,58950.687000000005,8700471.0,1.0856531663490199,True,7.355923604595659
AT,2017,58.1,,50.9,,65.0,55667.458,3847.077,59514.535,8772865.0,1.0921701732190296,True,7.409210104110802
AT,2018,57.7,,51.9,,69.0,54144.263,3213.87,57358.133,8822267.0,1.2029680254760036,True,7.821118993564806
AT,2019,53.6,,52.5,,71.0,55614.85,4129.559,59744.409,8858775.0,1.188395720844774,True,8.014652138698635
AT,2020,53.9,,53.1,,72.0,54516.552,3938.032,58454.584,8901064.0,1.2317254708373255,True,8.08892060544672
AT,2021,51.5,,52.4,,68.0,57496.226,3829.841,61326.067,8932664.0,1.1088270180443822,True,7.612510668709804
AT,2022,49.6,,50.8,,61.0,50721.168,3413.172,54134.34,8978929.0,1.1268263361112374,True,6.79368330009069
AT,2023,45.6,,49.8,,57.0,44941.327,3558.578,48499.905,9104772.0,1.1752600340144996,True,6.260453309539217
BA,2013,96.64,42.33,99.23,45.84,5.0,,,,,,False,
BA,2014,96.38,42.68,98.93,49.42,5.0,1292.25,0.0,1292.25,,3.8692203520990525,True,
BA,2015,95.76,41.94,98.87,47.96,5.0,1533.0,0.0,1533.0,,3.2615786040443577,True,
BA,2016,95.75,38.64,97.92,43.88,5.0,1580.25,0.0,1580.25,,3.1640563202024996,True,
BA,2017,95.04,38.35,97.85,46.26,5.0,1730.26,0.0,1730.26,,2.889739114352756,True,
BA,2018,94.52,37.68,97.45,40.54,5.0,1722.005,0.0,1722.005,,2.9035920337048964,True,
BA,2019,93.56,37.3,96.28,37.54,7.0,1628.005,0.0,1628.005,,4.299741094161258,True,
BA,2020,93.08,37.11,96.94,40.53,7.0,1456.004,0.0,1456.004,,4.8076790997826935,True,
BA,2021,92.56,37.53,96.45,39.15,7.0,1834.005,0.0,1834.005,,3.8167834875041233,True,
BA,2022,91.62,37.15,95.8,38.9,7.0,1812.755,0.0,1812.755,,3.8615256887996443,True,
BA,2023,89.421,36.254,94.736,35.304,7.0,1602.255,0.0,1602.255,,4.3688426623727175,True,
BE,2013,66.0,52.68,74.93,64.9,29.0,113959.293,10947.136,124906.429,11137974.0,0.23217379787552808,True,2.6037051262644355
BE,2014,60.03,46.73,70.97,59.77,37.0,97064.668,10052.346,107117.014,11180840.0,0.34541664875012296,True,3.3092325800208213
BE,2015,60.67,45.52,65.71,48.48,46.0,104149.198,11522.858,115672.056,11237274.0,0.3976759953155843,True,4.093519478122541
BE,2016,50.48,40.93,71.08,62.55,40.0,108309.701,10924.182,119233.883,11311117.0,0.3354751098729209,True,3.5363439349093464
BE,2017,50.5,41.26,70.03,60.66,41.0,110070.703,12620.057,122690.76,11351727.0,0.3341734944016974,True,3.611785237611863
BE,2018,51.0,42.092,63.97,51.51,37.0,110817.122,12206.652,123023.774,11398589.0,0.30075487685819163,True,3.2460158007276165
BE,2019,50.16,39.55,67.5,55.2,41.0,110189.164,11847.024,122036.188,11455519.0,0.33596591856835123,True,3.5790608875948786
BE,2020,48.29,38.36,61.85,53.02,40.0,108853.53,10556.473,119410.003,11522440.0,0.3349803114903196,True,3.4714869420018677
BE,2021,47.341,37.605,68.1,56.43,38.0,120893.283,9319.845,130213.128,11554767.0,0.2918292539597083,True,3.2886859596563047
BE,2022,48.13,38.53,63.99,51.83,30.0,98456.578,8023.427,106480.005,11617623.0,0.2817430371082345,True,2.582283828628283
BE,2023,43.37,35.23,59.7,48.48,30.0,96756.982,7732.864,104489.846,11742796.0,0.2871092373894397,True,2.5547578276928253
BG,2013,59.27,23.41,74.5,36.8,23.0,13443.656,2409.278,15852.934,7202556.0,1.4508355361852892,True,3.1933108191036625
BG,2014,61.08,23.82,74.0,35.0,21.0,13708.448,2561.787,16270.235,7117453.0,1.290700472365642,True,2.950493666765344
BG,2015,64.41,24.86,78.44,32.49,22.0,15114.966,3166.045,18281.011,7029690.0,1.2034345365253596,True,3.1295832390902016
BG,2016,64.15,25.26,78.25,36.97,21.0,15125.707,3349.24,18474.947,6938759.0,1.1366744380917575,True,3.026477789472152
BG,2017,64.16,24.99,77.3,35.59,21.0,15732.872,3233.073,18965.945,6849518.0,1.1072477538029346,True,3.0659091632433113
BG,2018,61.44,23.93,77.81,35.82,19.0,15139.589,2417.958,17557.547,6757418.0,1.0821557248287588,True,2.8117248333609077
BG,2019,65.56,24.15,77.92,39.02,21.0,13323.333,1754.595,15077.928,6664177.0,1.3927643108522603,True,3.151176806978566
BG,2020,61.13,24.69,75.9,42.46,21.0,13515.302,1739.191,15254.493,6569275.0,1.376643589531294,True,3.196699788028359
BG,2021,59.85,24.21,74.75,36.13,27.0,15314.607,1871.714,17186.321,6532117.0,1.5710168569526894,True,4.133422594849418
BG,2022,52.44,20.63,77.57,33.99,27.0,12918.395,1492.582,14410.977,6482484.0,1.8735717918361814,True,4.16507005647835
BG,2023,47.96,18.87,65.14,41.6,26.0,11788.079,1379.228,13167.307,6447710.0,1.9745875143641747,True,4.032439424229688
CY,2013,89.06,89.06,92.9,92.9,0.0,0.0,0.0,0.0,862854.0,,False,
CY,2014,88.26,88.26,93.64,93.64,0.0,0.0,0.0,0.0,860032.0,,False,
CY,2015,87.5,87.5,92.43,92.43,0.0,0.0,0.0,0.0,860846.0,,False,
CY,2016,87.3,87.3,92.68,92.68,0.0,0.0,0.0,0.0,863764.0,,False,
CY,2017,86.27,86.27,92.78,92.78,0.0,0.0,0.0,0.0,869878.0,,False,
CY,2018,86.1,86.1,92.26,92.26,0.0,0.0,0.0,0.0,878601.0,,False,
CY,2019,85.59,85.59,91.95,91.95,0.0,0.0,0.0,0.0,890194.0,,False,
