freq,siec,indic_nrgm,unit,geo,year,value
A,E7000,CMPY_ECAP5,PC,AT,2013,62.000
A,E7000,CMPY_ECAP5,PC,AT,2014,60.800
A,E7000,CMPY_ECAP5,PC,AT,2015,59.700
A,E7000,CMPY_ECAP5,PC,AT,2016,58.400
A,E7000,CMPY_ECAP5,PC,AT,2017,58.100
A,E7000,CMPY_ECAP5,PC,AT,2018,57.700
A,E7000,CMPY_ECAP5,PC,AT,2019,53.600
A,E7000,CMPY_ECAP5,PC,AT,2020,53.900
A,E7000,CMPY_ECAP5,PC,AT,2021,51.500
A,E7000,CMPY_ECAP5,PC,AT,2022,49.600
A,E7000,CMPY_ECAP5,PC,AT,2023,45.600
A,E7000,CMPY_ECAP5,PC,AT,2024,
A,E7000,CMPY_ECAP5,PC,BA,2013,96.640
A,E7000,CMPY_ECAP5,PC,BA,2014,96.380
A,E7000,CMPY_ECAP5,PC,BA,2015,95.760
A,E7000,CMPY_ECAP5,PC,BA,2016,95.750
A,E7000,CMPY_ECAP5,PC,BA,2017,95.040
A,E7000,CMPY_ECAP5,PC,BA,2018,94.520
A,E7000,CMPY_ECAP5,PC,BA,2019,93.560
A,E7000,CMPY_ECAP5,PC,BA,2020,93.080
A,E7000,CMPY_ECAP5,PC,BA,2021,92.560
A,E7000,CMPY_ECAP5,PC,BA,2022,91.620
A,E7000,CMPY_ECAP5,PC,BA,2023,89.421
A,E7000,CMPY_ECAP5,PC,BA,2024,
A,E7000,CMPY_ECAP5,PC,BE,2013,66.000
A,E7000,CMPY_ECAP5,PC,BE,2014,60.030
A,E7000,CMPY_ECAP5,PC,BE,2015,60.670
A,E7000,CMPY_ECAP5,PC,BE,2016,50.480
A,E7000,CMPY_ECAP5,PC,BE,2017,50.500
A,E7000,CMPY_ECAP5,PC,BE,2018,51.000
A,E7000,CMPY_ECAP5,PC,BE,2019,50.160
A,E7000,CMPY_ECAP5,PC,BE,2020,48.290
A,E7000,CMPY_ECAP5,PC,BE,2021,47.341
A,E7000,CMPY_ECAP5,PC,BE,2022,48.130
A,E7000,CMPY_ECAP5,PC,BE,2023,43.370
A,E7000,CMPY_ECAP5,PC,BE,2024,
A,E7000,CMPY_ECAP5,PC,BG,2013,59.270
A,E7000,CMPY_ECAP5,PC,BG,2014,61.080
A,E7000,CMPY_ECAP5,PC,BG,2015,64.410
A,E7000,CMPY_ECAP5,PC,BG,2016,64.150
A,E7000,CMPY_ECAP5,PC,BG,2017,64.160
A,E7000,CMPY_ECAP5,PC,BG,2018,61.440
A,E7000,CMPY_ECAP5,PC,BG,2019,65.560
A,E7000,CMPY_ECAP5,PC,BG,2020,61.130
A,E7000,CMPY_ECAP5,PC,BG,2021,59.850
A,E7000,CMPY_ECAP5,PC,BG,2022,52.440
A,E7000,CMPY_ECAP5,PC,BG,2023,47.960
A,E7000,CMPY_ECAP5,PC,BG,2024,
A,E7000,CMPY_ECAP5,PC,CY,2013,89.060
A,E7000,CMPY_ECAP5,PC,CY,2014,88.260
A,E7000,CMPY_ECAP5,PC,CY,2015,87.500
A,E7000,CMPY_ECAP5,PC,CY,2016,87.300
A,E7000,CMPY_ECAP5,PC,CY,2017,86.270
A,E7000,CMPY_ECAP5,PC,CY,2018,86.100
A,E7000,CMPY_ECAP5,PC,CY,2019,85.590
A,E7000,CMPY_ECAP5,PC,CY,2020,83.240
A,E7000,CMPY_ECAP5,PC,CY,2021,80.910
A,E7000,CMPY_ECAP5,PC,CY,2022,78.500
A,E7000,CMPY_ECAP5,PC,CY,2023,76.230
A,E7000,CMPY_ECAP5,PC,CY,2024,
A,E7000,CMPY_ECAP5,PC,CZ,2013,61.800
A,E7000,CMPY_ECAP5,PC,CZ,2014,61.900
A,E7000,CMPY_ECAP5,PC,CZ,2015,61.900
A,E7000,CMPY_ECAP5,PC,CZ,2016,61.700
A,E7000,CMPY_ECAP5,PC,CZ,2017,60.282
A,E7000,CMPY_ECAP5,PC,CZ,2018,60.686
A,E7000,CMPY_ECAP5,PC,CZ,2019,60.549
A,E7000,CMPY_ECAP5,PC,CZ,2020,54.340
A,E7000,CMPY_ECAP5,PC,CZ,2021,53.310
A,E7000,CMPY_ECAP5,PC,CZ,2022,57.610
A,E7000,CMPY_ECAP5,PC,CZ,2023,59.400
A,E7000,CMPY_ECAP5,PC,CZ,2024,
A,E7000,CMPY_ECAP5,PC,DE,2013,67.000
A,E7000,CMPY_ECAP5,PC,DE,2014,70.000
A,E7000,CMPY_ECAP5,PC,DE,2015,68.000
A,E7000,CMPY_ECAP5,PC,DE,2016,65.300
A,E7000,CMPY_ECAP5,PC,DE,2017,64.900
A,E7000,CMPY_ECAP5,PC,DE,2018,60.800
A,E7000,CMPY_ECAP5,PC,DE,2019,57.500
A,E7000,CMPY_ECAP5,PC,DE,2020,56.800
A,E7000,CMPY_ECAP5,PC,DE,2021,53.100
A,E7000,CMPY_ECAP5,PC,DE,2022,52.000
A,E7000,CMPY_ECAP5,PC,DE,2023,52.500
A,E7000,CMPY_ECAP5,PC,DE,2024,
A,E7000,CMPY_ECAP5,PC,DK,2013,57.000
A,E7000,CMPY_ECAP5,PC,DK,2014,43.700
A,E7000,CMPY_ECAP5,PC,DK,2015,37.220
A,E7000,CMPY_ECAP5,PC,DK,2016,36.600
A,E7000,CMPY_ECAP5,PC,DK,2017,36.210
A,E7000,CMPY_ECAP5,PC,DK,2018,38.084
A,E7000,CMPY_ECAP5,PC,DK,2019,37.698
A,E7000,CMPY_ECAP5,PC,DK,2020,40.970
A,E7000,CMPY_ECAP5,PC,DK,2021,38.439
A,E7000,CMPY_ECAP5,PC,DK,2022,35.412
A,E7000,CMPY_ECAP5,PC,DK,2023,35.667
A,E7000,CMPY_ECAP5,PC,DK,2024,
A,E7000,CMPY_ECAP5,PC,EE,2013,77.000
A,E7000,CMPY_ECAP5,PC,EE,2014,75.830
A,E7000,CMPY_ECAP5,PC,EE,2015,71.690
A,E7000,CMPY_ECAP5,PC,EE,2016,70.000
A,E7000,CMPY_ECAP5,PC,EE,2017,72.000
A,E7000,CMPY_ECAP5,PC,EE,2018,74.000
A,E7000,CMPY_ECAP5,PC,EE,2019,76.360
A,E7000,CMPY_ECAP5,PC,EE,2020,75.000
A,E7000,CMPY_ECAP5,PC,EE,2021,86.000
A,E7000,CMPY_ECAP5,PC,EE,2022,83.000
A,E7000,CMPY_ECAP5,PC,EE,2023,85.530
A,E7000,CMPY_ECAP5,PC,EE,2024,
A,E7000,CMPY_ECAP5,PC,EL,2013,67.400
A,E7000,CMPY_ECAP5,PC,EL,2014,67.030
A,E7000,CMPY_ECAP5,PC,EL,2015,67.030
A,E7000,CMPY_ECAP5,PC,EL,2016,73.230
A,E7000,CMPY_ECAP5,PC,EL,2017,62.160
A,E7000,CMPY_ECAP5,PC,EL,2018,57.980
A,E7000,CMPY_ECAP5,PC,EL,2019,57.810
A,E7000,CMPY_ECAP5,PC,EL,2020,56.200
A,E7000,CMPY_ECAP5,PC,EL,2021,48.790
A,E7000,CMPY_ECAP5,PC,EL,2022,48.040
A,E7000,CMPY_ECAP5,PC,EL,2023,44.560
A,E7000,CMPY_ECAP5,PC,EL,2024,
A,E7000,CMPY_ECAP5,PC,ES,2013,61.200
A,E7000,CMPY_ECAP5,PC,ES,2014,60.910
A,E7000,CMPY_ECAP5,PC,ES,2015,62.340
A,E7000,CMPY_ECAP5,PC,ES,2016,61.290
A,E7000,CMPY_ECAP5,PC,ES,2017,59.660
A,E7000,CMPY_ECAP5,PC,ES,2018,55.580
A,E7000,CMPY_ECAP5,PC,ES,2019,55.160
A,E7000,CMPY_ECAP5,PC,ES,2020,45.790
A,E7000,CMPY_ECAP5,PC,ES,2021,39.180
A,E7000,CMPY_ECAP5,PC,ES,2022,36.150
A,E7000,CMPY_ECAP5,PC,ES,2023,35.975
A,E7000,CMPY_ECAP5,PC,ES,2024,
A,E7000,CMPY_ECAP5,PC,FI,2013,45.790
A,E7000,CMPY_ECAP5,PC,FI,2014,42.800
A,E7000,CMPY_ECAP5,PC,FI,2015,41.700
A,E7000,CMPY_ECAP5,PC,FI,2016,42.840
A,E7000,CMPY_ECAP5,PC,FI,2017,40.860
A,E7000,CMPY_ECAP5,PC,FI,2018,41.190
A,E7000,CMPY_ECAP5,PC,FI,2019,44.410
A,E7000,CMPY_ECAP5,PC,FI,2020,44.300
A,E7000,CMPY_ECAP5,PC,FI,2021,43.180
A,E7000,CMPY_ECAP5,PC,FI,2022,32.600
A,E7000,CMPY_ECAP5,PC,FI,2023,27.590
A,E7000,CMPY_ECAP5,PC,FI,2024,
A,E7000,CMPY_ECAP5,PC,FR,2013,83.400
A,E7000,CMPY_ECAP5,PC,FR,2014,84.100
A,E7000,CMPY_ECAP5,PC,FR,2015,82.500
A,E7000,CMPY_ECAP5,PC,FR,2016,77.600
A,E7000,CMPY_ECAP5,PC,FR,2017,81.540
A,E7000,CMPY_ECAP5,PC,FR,2018,78.200
A,E7000,CMPY_ECAP5,PC,FR,2019,76.610
A,E7000,CMPY_ECAP5,PC,FR,2020,69.440
A,E7000,CMPY_ECAP5,PC,FR,2021,68.810
A,E7000,CMPY_ECAP5,PC,FR,2022,66.250
A,E7000,CMPY_ECAP5,PC,FR,2023,64.080
A,E7000,CMPY_ECAP5,PC,FR,2024,
A,E7000,CMPY_ECAP5,PC,GE,2013,
A,E7000,CMPY_ECAP5,PC,GE,2014,
A,E7000,CMPY_ECAP5,PC,GE,2015,62.100
A,E7000,CMPY_ECAP5,PC,GE,2016,59.100
A,E7000,CMPY_ECAP5,PC,GE,2017,56.500
A,E7000,CMPY_ECAP5,PC,GE,2018,56.100
A,E7000,CMPY_ECAP5,PC,GE,2019,56.000
A,E7000,CMPY_ECAP5,PC,GE,2020,52.000
A,E7000,CMPY_ECAP5,PC,GE,2021,51.800
A,E7000,CMPY_ECAP5,PC,GE,2022,51.600
A,E7000,CMPY_ECAP5,PC,GE,2023,51.100
A,E7000,CMPY_ECAP5,PC,GE,2024,
A,E7000,CMPY_ECAP5,PC,HR,2013,93.000
A,E7000,CMPY_ECAP5,PC,HR,2014,90.650
A,E7000,CMPY_ECAP5,PC,HR,2015,84.940
A,E7000,CMPY_ECAP5,PC,HR,2016,82.980
A,E7000,CMPY_ECAP5,PC,HR,2017,82.310
A,E7000,CMPY_ECAP5,PC,HR,2018,82.180
A,E7000,CMPY_ECAP5,PC,HR,2019,80.010
A,E7000,CMPY_ECAP5,PC,HR,2020,79.090
A,E7000,CMPY_ECAP5,PC,HR,2021,74.510
A,E7000,CMPY_ECAP5,PC,HR,2022,62.380
A,E7000,CMPY_ECAP5,PC,HR,2023,66.250
A,E7000,CMPY_ECAP5,PC,HR,2024,
A,E7000,CMPY_ECAP5,PC,HU,2013,57.150
A,E7000,CMPY_ECAP5,PC,HU,2014,63.530
A,E7000,CMPY_ECAP5,PC,HU,2015,60.800
A,E7000,CMPY_ECAP5,PC,HU,2016,63.340
A,E7000,CMPY_ECAP5,PC,HU,2017,49.410
