geo,year,fc_e_gwh,fc_ne_gwh,gas_fc_gwh
AL,2013,65.0,0.0,65.0
AL,2014,79.5,0.0,79.5
AL,2015,129.75,0.0,129.75
AL,2016,116.707,0.0,116.707
AL,2017,145.374,0.0,145.374
AL,2018,85.83,0.0,85.83
AL,2019,75.363,0.0,75.363
AL,2020,75.35,0.0,75.35
AL,2021,75.35,0.0,75.35
AL,2022,68.617,0.0,68.617
AL,2023,124.97,0.0,124.97
AT,2013,54996.143,3450.344,58446.486999999994
AT,2014,50933.702,4008.465,54942.167
AT,2015,53047.628,3863.871,56911.498999999996
AT,2016,54990.211,3960.476,58950.687000000005
AT,2017,55667.458,3847.077,59514.534999999996
AT,2018,54144.263,3213.87,57358.133
AT,2019,55614.85,4129.559,59744.409
AT,2020,54516.552,3938.032,58454.584
AT,2021,57496.226,3829.841,61326.067
AT,2022,50721.168,3413.172,54134.34
AT,2023,44941.327,3558.578,48499.905
BA,2014,1292.25,0.0,1292.25
BA,2015,1533.0,0.0,1533.0
BA,2016,1580.25,0.0,1580.25
BA,2017,1730.26,0.0,1730.26
BA,2018,1722.005,0.0,1722.005
BA,2019,1628.005,0.0,1628.005
BA,2020,1456.004,0.0,1456.004
BA,2021,1834.005,0.0,1834.005
BA,2022,1812.755,0.0,1812.755
BA,2023,1602.255,0.0,1602.255
BE,2013,113959.293,10947.136,124906.429
BE,2014,97064.668,10052.346,107117.01400000001
BE,2015,104149.198,11522.858,115672.05600000001
BE,2016,108309.701,10924.182,119233.883
BE,2017,110070.703,12620.057,122690.76
BE,2018,110817.122,12206.652,123023.774
BE,2019,110189.164,11847.024,122036.18800000001
BE,2020,108853.53,10556.473,119410.003
BE,2021,120893.283,9319.845,130213.128
BE,2022,98456.578,8023.427,106480.00499999999
BE,2023,96756.982,7732.864,104489.846
BG,2013,13443.656,2409.278,15852.934000000001
BG,2014,13708.448,2561.787,16270.235
BG,2015,15114.966,3166.045,18281.011
BG,2016,15125.707,3349.24,18474.947
BG,2017,15732.872,3233.073,18965.945
BG,2018,15139.589,2417.958,17557.547
BG,2019,13323.333,1754.595,15077.928
BG,2020,13515.302,1739.191,15254.493
BG,2021,15314.607,1871.714,17186.321
