geo,year,CMPY_ECAP5_PC,CMPY_EG5_PC,DERIV_energy_price_gap_PC,GRTL_NR,LCMPY_IECAP_PC
AT,2013,62.000,55.500,6.500,45.000,
AT,2014,60.800,55.200,5.600,54.000,
AT,2015,59.700,53.000,6.700,56.000,
AT,2016,58.400,52.100,6.300,64.000,
AT,2017,58.100,50.900,7.200,65.000,
AT,2018,57.700,51.900,5.800,69.000,
AT,2019,53.600,52.500,1.100,71.000,
AT,2020,53.900,53.100,0.800,72.000,
AT,2021,51.500,52.400,-0.900,68.000,
AT,2022,49.600,50.800,-1.200,61.000,
AT,2023,45.600,49.800,-4.200,57.000,
AT,2024,,,,,
BA,2013,96.640,99.230,-2.590,5.000,42.330
BA,2014,96.380,98.930,-2.550,5.000,42.680
BA,2015,95.760,98.870,-3.110,5.000,41.940
BA,2016,95.750,97.920,-2.170,5.000,38.640
BA,2017,95.040,97.850,-2.810,5.000,38.350
BA,2018,94.520,97.450,-2.930,5.000,37.680
BA,2019,93.560,96.280,-2.720,7.000,37.300
BA,2020,93.080,96.940,-3.860,7.000,37.110
BA,2021,92.560,96.450,-3.890,7.000,37.530
BA,2022,91.620,95.800,-4.180,7.000,37.150
BA,2023,89.421,94.736,-5.315,7.000,36.254
BA,2024,,,,,
BE,2013,66.000,74.930,-8.930,29.000,52.680
BE,2014,60.030,70.970,-10.940,37.000,46.730
BE,2015,60.670,65.710,-5.040,46.000,45.520
BE,2016,50.480,71.080,-20.600,40.000,40.930
BE,2017,50.500,70.030,-19.530,41.000,41.260
BE,2018,51.000,63.970,-12.970,37.000,42.092
BE,2019,50.160,67.500,-17.340,41.000,39.550
BE,2020,48.290,61.850,-13.560,40.000,38.360
BE,2021,47.341,68.100,-20.759,38.000,37.605
BE,2022,48.130,63.990,-15.860,30.000,38.530
BE,2023,43.370,59.700,-16.330,30.000,35.230
BE,2024,,,,,
BG,2013,59.270,74.500,-15.230,23.000,23.410
BG,2014,61.080,74.000,-12.920,21.000,23.820
BG,2015,64.410,78.440,-14.030,22.000,24.860
BG,2016,64.150,78.250,-14.100,21.000,25.260
BG,2017,64.160,77.300,-13.140,21.000,24.990
BG,2018,61.440,77.810,-16.370,19.000,23.930
BG,2019,65.560,77.920,-12.360,21.000,24.150
BG,2020,61.130,75.900,-14.770,21.000,24.690
BG,2021,59.850,74.750,-14.900,27.000,24.210
BG,2022,52.440,77.570,-25.130,27.000,20.630
BG,2023,47.960,65.140,-17.180,26.000,18.870
BG,2024,,,,,
CY,2013,89.060,92.900,-3.840,0.000,89.060
CY,2014,88.260,93.640,-5.380,0.000,88.260
CY,2015,87.500,92.430,-4.930,0.000,87.500
CY,2016,87.300,92.680,-5.380,0.000,87.300
CY,2017,86.270,92.780,-6.510,0.000,86.270
CY,2018,86.100,92.260,-6.160,0.000,86.100
CY,2019,85.590,91.950,-6.360,0.000,85.590
CY,2020,83.240,89.920,-6.680,0.000,83.240
CY,2021,80.910,88.030,-7.120,0.000,80.910
CY,2022,78.500,87.530,-9.030,0.000,78.500
CY,2023,76.230,84.860,-8.630,,76.230
CY,2024,,,,,
CZ,2013,61.800,67.500,-5.700,74.000,61.800
CZ,2014,61.900,67.700,-5.800,80.000,61.900
CZ,2015,61.900,67.700,-5.800,88.000,61.900
CZ,2016,61.700,68.400,-6.700,98.000,61.700
