year,de,median,p25,p75,de_minus_median,de_rank,n
2013,67.0,67.91,59.27,90.3,-0.9099999999999966,19.0,33
2014,70.0,68.515,60.2225,87.9625,1.4849999999999994,17.0,34
2015,68.0,67.26,60.185,86.7,0.7399999999999949,16.0,35
2016,65.3,65.3,53.120000000000005,86.39,0.0,18.0,35
2017,64.9,64.16,51.25,86.58500000000001,0.7400000000000091,17.0,35
2018,60.8,61.44,51.14,86.575,-0.6400000000000006,19.0,35
2019,57.5,60.549,51.879999999999995,85.97,-3.0489999999999995,20.0,35
2020,56.8,59.411,47.04,82.525,-2.611000000000004,19.0,35
2021,53.1,59.85,45.14,83.455,-6.75,20.0,35
2022,52.0,57.61,41.375,83.85,-5.609999999999999,20.0,35
2023,52.5,58.52,41.254999999999995,78.035,-6.020000000000003,19.0,35
