year,de,median,p25,p75,de_minus_median,de_rank,n
2013,29.0,52.68,30.53,76.85,-23.68,25.0,31
2014,29.0,48.0,30.0,76.16499999999999,-19.0,24.0,31
2015,27.0,48.724999999999994,30.73,75.95,-21.724999999999994,27.0,32
2016,27.0,44.265,27.495,73.435,-17.265,25.0,32
2017,25.8,44.68,25.5975,70.94999999999999,-18.88,24.0,32
2018,25.1,44.9625,28.8725,68.1975,-19.862499999999997,25.0,32
2019,22.4,41.957,29.4825,66.89750000000001,-19.557000000000002,28.0,32
2020,22.0,39.088,27.9225,65.47749999999999,-17.088,27.0,32
2021,21.0,40.2175,27.405,67.7075,-19.2175,27.0,32
2022,18.6,39.790000000000006,26.16925,63.535000000000004,-21.190000000000005,28.0,32
2023,18.8,36.462,24.525,58.8475,-17.662000000000003,28.0,32
