year,de,median,p25,p75,de_minus_median,de_rank,n
2013,74.0,76.12,62.37,94.5,-2.1200000000000045,20.0,33
2014,73.0,73.31,62.6775,93.075,-0.3100000000000023,18.0,34
2015,76.0,72.03,62.605000000000004,91.095,3.969999999999999,16.0,35
2016,72.1,72.1,57.015,92.19,0.0,18.0,35
2017,75.5,72.665,52.425,86.47999999999999,2.8349999999999937,16.0,34
2018,73.9,73.86,53.9225,87.4725,0.04000000000000625,17.0,34
2019,70.1,68.8,53.445,85.23,1.2999999999999972,17.0,34
2020,65.3,67.5075,55.085,85.88,-2.207499999999996,19.0,34
2021,62.4,68.06,53.025000000000006,82.9125,-5.660000000000004,21.0,34
2022,55.9,68.505,50.5375,78.1425,-12.604999999999997,23.0,34
2023,57.1,63.355,48.864999999999995,80.195,-6.2549999999999955,21.0,35
