year,de,median,p25,p75,de_minus_median,de_rank,n
2013,32.0,57.1,34.4,83.78,-25.1,24.0,31
2014,32.0,53.95,33.5,81.07,-21.950000000000003,24.0,31
2015,32.0,52.195,31.6475,79.25,-20.195,24.0,32
2016,33.5,53.4,30.122500000000002,80.765,-19.9,23.0,32
2017,32.2,47.05,27.15,78.91,-14.849999999999994,22.0,31
2018,30.2,51.46,29.03,78.875,-21.26,23.0,31
2019,26.0,49.37,26.33,70.95,-23.369999999999997,24.0,31
2020,25.3,42.46,24.9,68.865,-17.16,23.0,31
2021,26.1,44.74,26.265,63.835,-18.64,24.0,31
2022,26.4,38.9,24.515,69.98349999999999,-12.5,22.0,31
2023,22.5,41.6,23.17,69.9,-19.1,26.0,31
