geo,year,gas_retailers,gas_fc_gwh,reason
CY,2013,0.0,0.0,below_1_twh
CY,2014,0.0,0.0,below_1_twh
CY,2015,0.0,0.0,below_1_twh
CY,2016,0.0,0.0,below_1_twh
CY,2017,0.0,0.0,below_1_twh
CY,2018,0.0,0.0,below_1_twh
CY,2019,0.0,0.0,below_1_twh
CY,2020,0.0,0.0,below_1_twh
CY,2021,0.0,0.0,below_1_twh
CY,2022,0.0,0.0,below_1_twh
ME,2013,0.0,0.0,below_1_twh
ME,2014,0.0,0.0,below_1_twh
ME,2015,0.0,0.0,below_1_twh
ME,2016,0.0,0.0,below_1_twh
ME,2017,0.0,0.0,below_1_twh
ME,2018,0.0,0.0,below_1_twh
ME,2019,0.0,0.0,below_1_twh
ME,2020,0.0,0.0,below_1_twh
ME,2021,0.0,0.0,below_1_twh
ME,2022,0.0,0.0,below_1_twh
ME,2023,0.0,0.0,below_1_twh
MK,2013,7.0,313.75,below_1_twh
MK,2014,7.0,391.25,below_1_twh
MK,2015,7.0,366.25,below_1_twh
MK,2016,7.0,442.506,below_1_twh
MK,2017,7.0,512.746,below_1_twh
MK,2018,8.0,504.051,below_1_twh
MK,2019,6.0,501.821,below_1_twh
MK,2020,6.0,511.11,below_1_twh
MK,2021,6.0,610.129,below_1_twh
MK,2022,7.0,495.688,below_1_twh
MK,2023,8.0,544.029,below_1_twh
XK,2013,0.0,0.0,below_1_twh
XK,2014,0.0,0.0,below_1_twh
XK,2015,0.0,0.0,below_1_twh
XK,2016,0.0,0.0,below_1_twh
XK,2017,0.0,0.0,below_1_twh
XK,2018,0.0,0.0,below_1_twh
XK,2019,0.0,0.0,below_1_twh
XK,2020,0.0,0.0,below_1_twh
XK,2021,0.0,0.0,below_1_twh
XK,2022,0.0,0.0,below_1_twh
XK,2023,0.0,0.0,below_1_twh
BA,2013,5.0,,missing_final_consumption
