year,de,median,p25,p75,de_minus_median,de_rank,n
2013,10.24542499550381,2.9375713743483174,1.6540340521261587,5.51071556985311,7.307853621155493,2.0,28
2014,10.57356475342057,3.409238755163734,1.5316596485784462,6.5029294908709305,7.164325998256835,3.0,28
2015,11.65059969737752,3.7240860853700433,1.9412017388360796,6.970336339639397,7.9265136120074775,2.0,29
2016,11.962176061716749,3.5363439349093464,2.218245668585996,7.355923604595659,8.425832126807402,3.0,29
2017,12.05744145721366,3.6422976098962905,2.6092542594771158,7.409210104110802,8.415143847317369,4.0,29
2018,11.957626375412387,4.095532178826703,2.322033094776683,6.873796053369954,7.862094196585684,3.0,29
2019,11.864723410471262,3.7600843659915717,2.3506816459623328,8.014652138698635,8.10463904447969,3.0,29
2020,11.771536811164745,3.4714869420018677,2.261464707346208,8.939306577988745,8.300049869162878,3.0,29
2021,11.773190247502885,3.9059118945016325,2.168494556988308,9.07827172402054,7.867278353001253,3.0,29
2022,11.76157888396048,3.570847558522253,2.1985108052504643,9.016790212511507,8.190731325438227,3.0,29
2023,11.706178387408599,3.0437840995657464,2.191262123157696,7.566482902018587,8.662394287842853,2.0,29
