geo,gas_retailers,gas_fc_gwh,retailers_per_twh,retailers_per_million,density_rank,raw_rank
EE,21.0,1878.599,11.17854315902436,15.374658462944144,1.0,20.0
MD,24.0,3747.458,6.404341289482097,9.55125802007197,2.0,18.0
BA,7.0,1602.255,4.3688426623727175,,3.0,26.0
LV,12.0,3229.989,3.715182930963542,6.331655268807786,4.0,24.0
SI,19.0,6132.862,3.0980641664527915,8.975083279325375,5.0,21.0
HR,39.0,13106.223,2.975685672371056,10.127518441172363,6.0,11.0
RS,34.0,12374.848,2.747508494649793,5.119559019255113,7.0,12.0
CZ,110.0,49536.191000000006,2.2205986729984946,10.159289344780328,8.0,5.0
BG,26.0,13167.307,1.9745875143641747,4.032439424229688,9.0,16.0
IT,634.0,348041.968,1.8216193973480808,10.746272522318474,10.0,2.0
DE,973.0,552198.297,1.7620481723434216,11.706178387408599,11.0,1.0
FI,12.0,6892.780000000001,1.7409521267181018,2.1567334115748285,12.0,24.0
EL,22.0,13861.208,1.587163254458053,2.115004727996933,13.0,19.0
PT,30.0,19763.968,1.517913811639444,2.8526272839916924,14.0,13.0
AT,57.0,48499.905,1.1752600340144996,6.260453309539217,15.0,9.0
GE,28.0,25101.97,1.1154503013110126,7.49393058532683,16.0,15.0
SE,6.0,5658.008,1.0604438876721278,0.5702578591987725,17.0,27.0
RO,58.0,58430.606,0.9926304717770684,3.0437840995657464,18.0,8.0
DK,13.0,13714.845,0.94787801101653,2.191262123157696,19.0,23.0
LU,5.0,5339.651,0.9363907865888613,7.566482902018587,20.0,29.0
PL,109.0,125095.714,0.8713328100113805,2.9656849034340342,21.0,6.0
ES,130.0,154668.752,0.8405059090410194,2.7035255074824125,22.0,3.0
SK,19.0,29675.5,0.6402587993462621,3.499857795251688,23.0,21.0
HU,26.0,57823.75,0.44964223178192353,2.708405557481533,24.0,16.0
LT,5.0,12155.377,0.4113405943723506,1.749916616473225,25.0,29.0
TR,111.0,329319.70700000005,0.3370584803781572,1.3016015691358043,26.0,4.0
NL,53.0,165851.496,0.3195629902548482,2.975640564179205,27.0,10.0
IE,6.0,19196.016,0.31256485720787064,1.1382186309316604,28.0,27.0
BE,30.0,104489.846,0.2871092373894397,2.5547578276928253,29.0,13.0
FR,63.0,271287.16000000003,0.23222625058996524,0.9227090562136326,30.0,7.0
