geo_dropped,coef,se,n_obs,n_countries,same_sign,rel_abs_diff
AT,0.0026544648734150595,0.010167715290273355,315,29,True,0.03732832106692322
BA,0.0020943360285046635,0.0102574507343275,316,29,True,0.18156231865909114
BE,0.0025557343215719865,0.010174748806358495,315,29,True,0.0012542190929034336
BG,0.0029752108173139533,0.010222682852540453,315,29,True,0.1626714193335094
CZ,0.0018251613510547188,0.010554636077563729,315,29,True,0.28675207612371056
DE,0.002548200297642387,0.01021013710310221,315,29,True,0.004198411902550607
DK,0.002093654201673383,0.010690861207387464,315,29,True,0.18182876719613297
EE,0.007835136789959288,0.008105285630480871,315,29,True,2.0618635692103564
EL,0.0012205673879320776,0.01071229408077113,315,29,True,0.5230190717710633
ES,0.0031440134311401576,0.010271076174122035,315,29,True,0.22863715643771443
FI,0.003636514704051857,0.010016341148137002,315,29,True,0.42109987224511713
FR,0.002715505610586441,0.010077583576392157,315,29,True,0.06118220063445122
GE,0.0041246145919300176,0.00990434458353761,317,29,True,0.6118425873876264
HR,0.002178375086743449,0.010426500911871233,315,29,True,0.14872101190081796
HU,0.0032622351308341513,0.010204415076921512,315,29,True,0.2748365687883758
IE,0.0020897736666191883,0.010401980451855069,315,29,True,0.18334522686110136
IT,0.0024836171552382238,0.010219991031508597,315,29,True,0.029436614656820462
LT,0.0018500320716721298,0.011636882019584011,315,29,True,0.2770329409713994
LU,0.002627581550483529,0.011372589998874227,315,29,True,0.026822688643395542
LV,-0.00530956970929773,0.007695999845575412,315,29,False,3.07490673065403
MD,0.0005276575989646877,0.010284049293325244,315,29,True,0.7937986760668437
NL,0.002298993322198797,0.010411883964157877,315,29,True,0.10158506637444936
PL,0.0029551396523489416,0.010667631599076943,315,29,True,0.1548278844412105
PT,0.003026969010945149,0.010309278060145024,315,29,True,0.18289780870434727
RO,0.0032960834965766856,0.010279414600400058,315,29,True,0.2880640440351624
RS,0.0035561844983483257,0.009977056396474409,315,29,True,0.3897079339874451
SE,0.0029721155311560107,0.010074447106829752,315,29,True,0.16146182412447224
SI,0.003536365462234177,0.010110914858515757,315,29,True,0.38196292757829825
SK,0.003211467715583482,0.010182455687701101,315,29,True,0.25499736196582257
TR,0.001848289502362173,0.01080986295653906,316,29,True,0.2777139130628909
